date,venue,title,year,synopsis,url,cost,details,rating,posterSource,poster
"25 May 2018",intrepid,"Top Gun",1986,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.",https://www.intrepidmuseum.org/movie-series,TBC,,PG,https://ia.media-imdb.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,/img/posters/2018/top-gun-1986.jpg
"29 Jun 2018",intrepid,"Wonder Woman",2017,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",https://www.intrepidmuseum.org/movie-series,TBC,,PG-13,https://ia.media-imdb.com/images/M/MV5BNDFmZjgyMTEtYTk5MC00NmY0LWJhZjktOWY2MzI5YjkzODNlXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,
"13 Jul 2018",intrepid,"Friday the 13th",1980,"A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which, years before, was the site of a child's drowning.",https://www.intrepidmuseum.org/movie-series,TBC,,R,https://ia.media-imdb.com/images/M/MV5BNWMxYTYzYWQtNGZmNy00MTg5LTk1N2MtNzQ5NjQxYjQ5NTJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/friday-the-13th-1980.jpg
"27 Jul 2018",intrepid,Dunkirk,2017,"Allied soldiers from Belgium, the British Empire and France are surrounded by the German Army, and evacuated during a fierce battle in World War II.",https://www.intrepidmuseum.org/movie-series,TBC,,PG-13,https://ia.media-imdb.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_SX300.jpg,/img/posters/2018/dunkirk-2017.jpg
"10 Aug 2018",intrepid,Ghostbusters,1984,"Three former parapsychology professors set up shop as a unique ghost removal service.",https://www.intrepidmuseum.org/movie-series,TBC,,PG,https://ia.media-imdb.com/images/M/MV5BMTkxMjYyNzgwMl5BMl5BanBnXkFtZTgwMTE3MjYyMTE@._V1_SX300.jpg,/img/posters/2018/ghostbusters-1984.jpg
"24 Aug 2018",intrepid,(TBC),,,https://www.intrepidmuseum.org/movie-series,TBC,"Community Choice Pick",,,
"18 Jun 2018",bryant-park,"The Breakfast Club",1985,"Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",R,https://ia.media-imdb.com/images/M/MV5BOTM5N2ZmZTMtNjlmOS00YzlkLTk3YjEtNTU1ZmQ5OTdhODZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,/img/posters/2018/the-breakfast-club-1985.jpg
"24 Jun 2018",bryant-park,"The Philadelphia Story",1940,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",,https://ia.media-imdb.com/images/M/MV5BYjQ4ZDA4NGMtMTkwYi00NThiLThhZDUtZTEzNTAxOWYyY2E4XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,/img/posters/2018/the-philadelphia-story-1940.jpg
"2 Jul 2018",bryant-park,"A League of Their Own",1992,"Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",PG,https://ia.media-imdb.com/images/M/MV5BNjQ1NTQyYjktZDc5My00NDA1LWI1NmItY2ViNjQ0NDk4NmRjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,/img/posters/2018/a-league-of-their-own-1992.jpg
"9 Jul 2018",bryant-park,"Little Miss Sunshine",2006,"A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.",http://bryantpark.org/programs/movie-nights,0,"Lawn opens at 5pm, movie starts between 8pm–9pm",R,https://ia.media-imdb.com/images/M/MV5BMTgzNTgzODU0NV5BMl5BanBnXkFtZTcwMjEyMjMzMQ@@._V1_SX300.jpg,/img/posters/2018/little-miss-sunshine-2006.jpg
