id,name,location,borough,image,website,facebook,twitter,foursquare,lat,lng
dongan-lawn-in-fort-tryon-park,Fort Tryon Park,1 Margaret Corbin Dr,manhattan,,http://nyc.gov/parks,,nycparks,a4vngx,40.860005,-73.932925
chelsea-park,Chelsea Park,10 Avenue A (btwn W 27th & W 28th St),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,iPScd,40.750311,-74.00145
john-paul-jones-park,John Paul Jones Park ('Cannonball Park'),10108 4th Ave (101st St.),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,cbvrWP,40.611541,-74.03437
de-witt-clinton-park,DeWitt Clinton Park,11 Avenue A (btw 52nd St & 54th St),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,8tuB9F,40.767891,-73.99372
paradise-on-earth,Paradise on Earth Community Garden,1106 Fox St,bronx,,,,,,40.826724,-73.894026
clove-lakes-park,Clove Lakes Park,1150 Clove Rd,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,9Tj1P6,40.618676,-74.109426
museum-of-the-city-of-new-york,Museum of the City of New York,1220 5th Ave (at E 103rd St),manhattan,,http://www.mcny.org,,museumofcityny,56suEb,40.79256,-73.951818
montbellier-park,Montbellier Park,138-00 Springfield Blvd (138th Road),queens,,http://nyc.gov/parks,BartowPell,nycparks,d3NxhW,40.673673,-73.756285
von-briesen-park,Arthur Von Briesen Park,1497-1519 Bay St,staten-island,,http://nyc.gov/parks,nycparks,nycparks,95ZByl,40.607945,-74.057417
parade-ground-governors-island,Parade Ground,15 Evans Rd,manhattan,,,,,2vZ1bIG,40.691356,-74.014947
wright-brothers-playground,Wright Brothers Playground,156th Street St Nicholas,manhattan,,http://nyc.gov/parks,BartowPell,nycparks,db3dLO,40.835957,-73.94454
john-jay-park,John Jay Park,2 Cherokee Pl (btwn E 76th & E 77th St),manhattan,,http://nyc.gov/parks,,nycparks,bU08ii,40.769104,-73.949756
transmitter-park-brooklyn,WNYC Transmitter Park,2 Greenpoint Ave (West Street),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,6oIb0a,40.729745,-73.960823
randalls-island-park-manhattan,Randall's Island Park,20 Randall's Island Park,manhattan,,https://randallsisland.org,RandallsIslandPark,randallsisland,14lMfOF,40.796112,-73.92448
paul-raimonda-playground,Paul Raimonda Playground,20th Avenue (48th Street),queens,,http://nyc.gov/parks,BartowPell,nycparks,zBw1Lk,40.761798,-73.907125
faber-park-in-faber-pool-and-park,Faber Park and Pool,2175 Richmond Terrace (at Faber St.),staten-island,,http://www.nycgovparks.org/parks/faberpark/,BartowPell,nycparks,bmL9MB,40.640473,-74.135801
pier-63-chelsea,Maritime Pier 63,23rd Street,manhattan,,http://www.hudsonriverpark.org,HudsonRiverPark,hudsonriverpark,r8M8pD,40.749191,-74.009335
westerleigh-park,Westerleigh Park,262 Maine Ave,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,9mFafY,40.619683,-74.134591
westerleigh-park,Westerleigh Park,262 Maine Ave,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,9mFafY,40.619683,-74.134591
tony-dapolito-recreation-center,Tony Dapolito Recreation Center,3 Clarkson Street (Varick),manhattan,,http://www.nycgovparks.org/facilities/recreationcenters/M103,BartowPell,nycparks,8F4u2U,40.729315,-74.005194
socrates-sculpture-park,Socrates Sculpture Park,3205 Vernon Blvd (at Broadway),queens,,http://www.socratessculpturepark.org,nycparks,nycparks,4ofgdT,40.768468,-73.936336
lewis-h-latimer-house,Lewis H. Latimer House Museum,34-41 137th St,queens,,http://nyc.gov/parks,BartowPell,nycparks,mpEmcp,40.765713,-73.830637
j-hood-wright-park,Jay Hood Wright Park,351 Fort Washington Ave (at W 173rd St.),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,9UvF2f,40.846594,-73.941065
j-hood-wright-park-in-j-hood-wright-park,Jay Hood Wright Park,351 Fort Washington Ave (at W 173rd St.),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,9UvF2f,40.846594,-73.941065
latourette-park-parking-lot,Historic Richmond Town,441 Clarke Ave,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,9WVLrJ,40.572803,-74.13343
pena-herrera-park-in-pena-herrera-playground,Pena Herrera Park (The Bergen School Playground),46th street and 3rd Avenue (Behind The Bergen School (P.S. 1)),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,ffMZmj,40.649307,-74.011854
columbus-park,49 Mulberry St (btwn Bayard & Worth St),49 Mulberry St (btwn Bayard & Worth St),manhattan,,http://www.nycgovparks.org,BartowPell,nycparks,7wV9RC,40.715603,-73.999884
greenbelt-recreation-center-blood-root-valley,Greenbelt Nature Center,501 Brielle Ave (Rockland Ave),staten-island,,http://nyc.gov/parks,BartowPell,nycparks,baB2Kk,40.586616,-74.146917
greenbelt-recreation-center-in-blood-root-valley,Greenbelt Nature Center,501 Brielle Ave (Rockland Ave),staten-island,,http://nyc.gov/parks,BartowPell,nycparks,baB2Kk,40.586616,-74.146917
azul-rooftop-hotel-hugo,Azul Rooftop @ Hotel Hugo,525 Greenwich St,manhattan,,http://www.hotelhugony.com/rooftop-bar,,,1zcjipW,40.726367,-74.008708
carl-schurz-park,Carl Schurz Park,599 E 86th St (at East End Ave),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,1Yce7L,40.775118,-73.943763
bronx-terminal-market,Bronx Terminal Market,610 Exterior St,bronx,,http://www.bronxterminalmarket.com,,shopbtm,beIp39,40.823237,-73.929837
parklife-brooklyn,Parklife,636 Degraw St,brooklyn,,https://www.parklifebk.com,ParklifeBK,parklifebk,2qWMT7E,40.678855,-73.983139
russell-sage-playground,Russell Sage Playground,68 Ave (btwn Booth & Austin Streets),queens,,http://nyc.gov/parks,BartowPell,nycparks,a9YnzX,40.724184,-73.851625
st-catherines-park,St. Catherine's Park,68th and 1st (btw 1st and 2nd),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,ckNHfz,40.765037,-73.958431
garibaldi-plaza-in-washington-square-park,General Jose Artigas Park,6th Ave (Dominick St),manhattan,,,,,9WKqS5,40.723299,-74.005238
harbor-view-lawn-brooklyn-bridge-park,Harbor View Lawn,73rd St,brooklyn,,,,,YspTME,40.702634,-73.996119
cpl-thompson-park-in-cpl-thompson-park,West Brighton Playground,74-134 Broadway,staten-island,,,,,fTYqlX,40.638581,-74.117702
mccarren-park,McCarren Park,780 Lorimer St,brooklyn,,https://www.nycgovparks.org/parks/mccarren-park,nycparks,nycparks,3UqRqJ,40.721319,-73.952534
dyker-beach-park,Dyker Beach Park,86th Street (btw 7th & 14th),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,9lbTME,40.61268,-74.012847
albee-square,Albee Square,"Albee Sq, Fulton St, Bond St, DeKalb Ave, Fleet St (Fulton Mall)",brooklyn,,,,,datv1i,40.689896,-73.983167
the-painters-playground,The Painter's Playground,Alderton Street (btwn. Dieterle & Ellwell Crescents),queens,,,,,cGuU1f,40.720654,-73.859652
astoria-park,Astoria Park,at Shore & Ditmars Blvd (19th St),queens,,http://nyc.gov/parks,BartowPell,nycparks,2Aolvy,40.777315,-73.923792
astoria-park-lawn-in-astoria-park,Astoria Park Lawn,at Shore & Ditmars Blvd (19th St),queens,,http://nyc.gov/parks,BartowPell,nycparks,2Aolvy,40.777315,-73.923792
ehrenreich-austin-playground,Ehrenreich-Austin Playground,Austin St.,queens,,http://nyc.gov/parks,BartowPell,nycparks,9cPQ1l,40.715787,-73.837066
amersfort-park,Amersfort Park,Ave I (btw E 38 & E 39th),brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,cw5ZCG,40.627903,-73.939091
beach-59th-street-and-boardwalk-in-rockaway-beach-and-boardwalk,Rockaway Beach - 60th Street,Beach 60th Street (Shorefront),queens,,http://nyc.gov/parks,BartowPell,nycparks,m07c3N,40.589328,-73.789144
beach-94th-street-off-shorefront-parkway-in-rockaway-beach,Rockaway Beach - 94th Street,Beach 94th Street,queens,,http://nyc.gov/parks,BartowPell,nycparks,nH9MQb,40.583767,-73.815638
bill-brown-playground,Bill Brown Playground,,brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,cqVssM,40.592415,-73.945405
kelly-park-in-kelly-park-playground,Kelly Park,,brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,ar45nN,40.603721,-73.957976
lower-highland-playground-in-highland-park,Highland Park,,brooklyn,,http://www.nycgovparks.org/parks/highlandpark,BartowPell,nycparks,cl34Ha,40.682002,-73.889173
mckinley-park,McKinley Park,,brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,aCIkV3,40.626848,-74.016342
manhattan-beach-park,Manhattan Beach,,brooklyn,,http://nyc.gov/parks,BartowPell,nycparks,bpyc85,40.57737,-73.945531
bryant-park,Bryant Park,E 42nd St (btwn 5th & 6th Ave),manhattan,,http://www.facebook.com/bryantparknyc,bryantparknyc,bryantparknyc,3sTG8A,40.753932,-73.983987
rooftop-reds-brooklyn,Rooftop Reds,Building 275,brooklyn,,http://rooftopreds.com,,,1MW9KF9,40.698573,-73.977649
hunter-s-point-south-park,Hunter's Point South Park,Center Boulevard and Borden Avenue,queens,,http://www.nycgovparks.org/parks/hunters-point-south-park,BartowPell,nycparks,14ZUw8x,40.742632,-73.960701
hunters-point-south-park,Hunter's Point South Park,Center Boulevard and Borden Avenue,queens,,http://www.nycgovparks.org/parks/hunters-point-south-park,BartowPell,nycparks,14ZUw8x,40.742632,-73.960701
bloomingdale-park,Bloomingdale Playground,corner of 104th & Amsterdam,manhattan,,http://nyc.gov/parks,BartowPell,nycparks,8Ga7dv,40.79884,-73.966442
tompkins-square-park,Tompkins Square Park,E 7th St to E 10th St (btwn Ave A & B),manhattan,,http://www.nycgovparks.org/parks/tompkinssquarepark,BartowPell,nycparks,2xk1xu,40.726364,-73.982231
beach-17th-street-and-seagirt-boulevard-in-rockaway-beach-and-boardwalk,Far Rockaway Beach - 9th Street,,queens,,,,,nHB4Wg,40.595774,-73.744237
unisphere-in-flushing-meadows-corona-park,The Unisphere,,queens,,http://nyc.gov/parks,BartowPell,nycparks,bZTqIC,40.74667,-73.845286
detective-russel-timoshenko-soccer-field-in-franklin-d-roosevelt-boardwalk-and-beach,Detective Russel Timoshenko Soccer Field (aka Midland Beach Soccer Field),Franklin D Roosevelt Boardwalk & Beach,staten-island,,http://nyc.gov/parks,nycparks,nycparks,b4UaZn,40.575435,-74.081948
corporal-john-a-seravalli-playground,John A. Seravalli Park,Horatio Street (Hudson and Horatio),manhattan,,http://www.nycgovparks.org/parks/M237/,BartowPell,nycparks,dzGb9J,40.739018,-74.004883
samuel-seabury-playground,Samuel Seabury Playground,Lexington Ave (at E 96th St),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,cQBjpD,40.785475,-73.950763
willowbrook-park-archery-range-in-willowbrook-park,Willowbrook Park Archery Range/Dog Park,Loop Rd,staten-island,,http://nyc.gov/parks,BartowPell,nycparks,fiZgo7,40.602509,-74.156891
little-flower-playground,Little Flower Playground,Madison St (Jefferson St),manhattan,,http://nyc.gov/parks,BartowPell,nycparks,btxv9o,40.712427,-73.989251
mccarren-park-pool-deck-mccarren-park,McCarren Park Pool & Play Center,McCarren Park,brooklyn,,http://www.nycgovparks.org/parks/mccarrenpark/facilities/pools,BartowPell,nycparks,qDv4hn,40.720039,-73.950118
